id,name,base_experience,height,weight,abilities,primary_type,secondary_type,move_1,move_2,move_3,move_4,move_5,hp,attack,defense,special-attack,special-defense,speed
25,pikachu,112,4,60,"static, lightning-rod",electric,,mega-punch,pay-day,thunder-punch,slam,double-kick,35,55,40,50,50,90
26,raichu,218,8,300,"static, lightning-rod",electric,,mega-punch,pay-day,thunder-punch,slam,mega-kick,60,90,55,90,80,110
27,sandshrew,60,6,120,"sand-veil, sand-rush",ground,,scratch,swords-dance,cut,sand-attack,headbutt,50,75,85,20,30,40
28,sandslash,158,10,295,"sand-veil, sand-rush",ground,,scratch,swords-dance,cut,sand-attack,headbutt,75,100,110,45,55,65
29,nidoran-f,55,4,70,"poison-point, rivalry, hustle",poison,,scratch,cut,double-kick,headbutt,tackle,55,47,52,40,40,41
30,nidorina,128,8,200,"poison-point, rivalry, hustle",poison,,scratch,cut,double-kick,headbutt,horn-drill,70,62,67,55,55,56
31,nidoqueen,227,13,600,"poison-point, rivalry, sheer-force",poison,ground,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,90,92,87,75,85,76
32,nidoran-m,55,5,90,"poison-point, rivalry, hustle",poison,,cut,double-kick,headbutt,horn-attack,fury-attack,46,57,40,40,40,50
33,nidorino,128,9,195,"poison-point, rivalry, hustle",poison,,cut,double-kick,headbutt,horn-attack,fury-attack,61,72,57,55,55,65
34,nidoking,227,14,620,"poison-point, rivalry, sheer-force",poison,ground,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,81,102,77,85,75,85
35,clefairy,113,6,75,"cute-charm, magic-guard, friend-guard",fairy,,pound,double-slap,mega-punch,fire-punch,ice-punch,70,45,48,60,65,35
36,clefable,217,13,400,"cute-charm, magic-guard, unaware",fairy,,pound,double-slap,mega-punch,fire-punch,ice-punch,95,70,73,95,90,60
37,vulpix,60,6,99,"flash-fire, drought",fire,,headbutt,tackle,body-slam,take-down,double-edge,38,41,40,50,65,65
38,ninetales,177,11,199,"flash-fire, drought",fire,,headbutt,tackle,body-slam,take-down,double-edge,73,76,75,81,100,100
39,jigglypuff,95,5,55,"cute-charm, competitive, friend-guard",normal,fairy,pound,double-slap,mega-punch,fire-punch,ice-punch,115,45,20,45,25,20
40,wigglytuff,196,10,120,"cute-charm, competitive, frisk",normal,fairy,pound,double-slap,mega-punch,fire-punch,ice-punch,140,70,45,85,50,45
41,zubat,49,8,75,"inner-focus, infiltrator",poison,flying,razor-wind,gust,wing-attack,whirlwind,fly,40,45,35,30,40,55
42,golbat,159,16,550,"inner-focus, infiltrator",poison,flying,razor-wind,gust,wing-attack,whirlwind,fly,75,80,70,65,75,90
43,oddish,64,5,54,"chlorophyll, run-away",grass,poison,swords-dance,cut,headbutt,take-down,double-edge,45,50,55,75,65,30
44,gloom,138,8,86,"chlorophyll, stench",grass,poison,swords-dance,cut,headbutt,take-down,double-edge,60,65,70,85,75,40
45,vileplume,221,12,186,"chlorophyll, effect-spore",grass,poison,swords-dance,cut,headbutt,body-slam,take-down,75,80,85,110,90,50
46,paras,57,3,54,"effect-spore, dry-skin, damp",bug,grass,scratch,swords-dance,cut,headbutt,body-slam,35,70,55,45,55,25
47,parasect,142,10,295,"effect-spore, dry-skin, damp",bug,grass,scratch,swords-dance,cut,headbutt,body-slam,60,95,80,60,80,30
48,venonat,61,10,300,"compound-eyes, tinted-lens, run-away",bug,poison,headbutt,tackle,take-down,double-edge,supersonic,60,55,50,40,55,45
49,venomoth,158,15,125,"shield-dust, tinted-lens, wonder-skin",bug,poison,razor-wind,gust,whirlwind,headbutt,tackle,70,65,60,90,75,90
50,diglett,53,2,8,"sand-veil, arena-trap, sand-force",ground,,scratch,swords-dance,cut,sand-attack,headbutt,10,55,25,35,45,95
51,dugtrio,149,7,333,"sand-veil, arena-trap, sand-force",ground,,scratch,swords-dance,cut,sand-attack,headbutt,35,100,50,50,70,120
52,meowth,58,4,42,"pickup, technician, unnerve",normal,,pay-day,scratch,cut,headbutt,body-slam,40,45,35,40,40,90
53,persian,154,10,320,"limber, technician, unnerve",normal,,pay-day,scratch,cut,headbutt,body-slam,65,70,60,65,65,115
54,psyduck,64,8,196,"damp, cloud-nine, swift-swim",water,,mega-punch,pay-day,ice-punch,scratch,mega-kick,50,52,48,65,50,55
55,golduck,175,17,766,"damp, cloud-nine, swift-swim",water,,mega-punch,pay-day,ice-punch,scratch,mega-kick,80,82,78,95,80,85
56,mankey,61,5,280,"vital-spirit, anger-point, defiant",fighting,,karate-chop,mega-punch,pay-day,fire-punch,ice-punch,40,80,35,35,45,70
57,primeape,159,10,320,"vital-spirit, anger-point, defiant",fighting,,karate-chop,mega-punch,pay-day,fire-punch,ice-punch,65,105,60,60,70,95
58,growlithe,70,7,190,"intimidate, flash-fire, justified",fire,,double-kick,headbutt,body-slam,take-down,thrash,55,70,45,70,50,60
59,arcanine,194,19,1550,"intimidate, flash-fire, justified",fire,,headbutt,body-slam,take-down,double-edge,leer,90,110,80,100,80,95
60,poliwag,60,6,124,"water-absorb, damp, swift-swim",water,,pound,double-slap,headbutt,body-slam,take-down,40,50,40,40,40,90
61,poliwhirl,135,10,200,"water-absorb, damp, swift-swim",water,,pound,double-slap,mega-punch,ice-punch,mega-kick,65,65,65,50,50,90
62,poliwrath,230,13,540,"water-absorb, damp, swift-swim",water,fighting,pound,double-slap,mega-punch,ice-punch,mega-kick,90,95,95,70,90,70
63,abra,62,9,195,"synchronize, inner-focus, magic-guard",psychic,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,25,20,15,105,55,90
64,kadabra,140,13,565,"synchronize, inner-focus, magic-guard",psychic,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,40,35,30,120,70,105
65,alakazam,225,15,480,"synchronize, inner-focus, magic-guard",psychic,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,55,50,45,135,95,120
66,machop,61,8,195,"guts, no-guard, steadfast",fighting,,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,70,80,50,35,35,35
67,machoke,142,15,705,"guts, no-guard, steadfast",fighting,,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,80,100,70,50,60,45
68,machamp,227,16,1300,"guts, no-guard, steadfast",fighting,,karate-chop,mega-punch,fire-punch,ice-punch,thunder-punch,90,130,80,65,85,55
69,bellsprout,60,7,40,"chlorophyll, gluttony",grass,poison,swords-dance,cut,bind,slam,vine-whip,50,75,35,70,30,40
70,weepinbell,137,10,64,"chlorophyll, gluttony",grass,poison,swords-dance,cut,bind,slam,vine-whip,65,90,50,85,45,55
71,victreebel,221,17,155,"chlorophyll, gluttony",grass,poison,swords-dance,cut,bind,slam,vine-whip,80,105,65,100,70,70
72,tentacool,67,9,455,"clear-body, liquid-ooze, rain-dish",water,poison,swords-dance,cut,bind,headbutt,wrap,40,40,35,50,100,70
73,tentacruel,180,16,550,"clear-body, liquid-ooze, rain-dish",water,poison,swords-dance,cut,bind,headbutt,wrap,80,70,65,80,120,100
74,geodude,60,4,200,"rock-head, sturdy, sand-veil",rock,ground,mega-punch,fire-punch,thunder-punch,sand-attack,headbutt,40,80,100,30,30,20
75,graveler,137,10,1050,"rock-head, sturdy, sand-veil",rock,ground,mega-punch,fire-punch,thunder-punch,sand-attack,headbutt,55,95,115,45,45,35
76,golem,223,14,3000,"rock-head, sturdy, sand-veil",rock,ground,mega-punch,fire-punch,thunder-punch,mega-kick,sand-attack,80,120,130,55,65,45
77,ponyta,82,10,300,"run-away, flash-fire, flame-body",fire,,stomp,double-kick,headbutt,horn-drill,tackle,50,85,55,65,65,90
78,rapidash,175,17,950,"run-away, flash-fire, flame-body",fire,,pay-day,swords-dance,stomp,double-kick,headbutt,65,100,70,80,80,105
79,slowpoke,63,12,360,"oblivious, own-tempo, regenerator",water,psychic,pay-day,stomp,headbutt,tackle,body-slam,90,65,65,40,40,15
80,slowbro,172,16,785,"oblivious, own-tempo, regenerator",water,psychic,mega-punch,pay-day,ice-punch,stomp,mega-kick,95,75,110,100,80,30
81,magnemite,65,3,60,"magnet-pull, sturdy, analytic",electric,steel,headbutt,tackle,take-down,double-edge,supersonic,25,35,70,95,55,45
82,magneton,163,10,600,"magnet-pull, sturdy, analytic",electric,steel,headbutt,tackle,take-down,double-edge,supersonic,50,60,95,120,70,70
83,farfetchd,132,8,150,"keen-eye, inner-focus, defiant",normal,flying,razor-wind,swords-dance,cut,gust,whirlwind,52,90,55,58,62,60
84,doduo,62,14,392,"run-away, early-bird, tangled-feet",normal,flying,swords-dance,wing-attack,whirlwind,fly,jump-kick,35,85,45,35,35,75
85,dodrio,165,18,852,"run-away, early-bird, tangled-feet",normal,flying,swords-dance,wing-attack,whirlwind,fly,jump-kick,60,110,70,60,60,110
86,seel,65,11,900,"thick-fat, hydration, ice-body",water,,pay-day,slam,headbutt,horn-drill,body-slam,65,45,55,45,70,45
87,dewgong,166,17,1200,"thick-fat, hydration, ice-body",water,ice,pay-day,headbutt,horn-drill,body-slam,take-down,90,70,80,70,95,70
88,grimer,65,9,300,"stench, sticky-hold, poison-touch",poison,,pound,fire-punch,ice-punch,thunder-punch,headbutt,80,80,50,40,50,25
89,muk,175,12,300,"stench, sticky-hold, poison-touch",poison,,pound,fire-punch,ice-punch,thunder-punch,headbutt,105,105,75,65,100,50
90,shellder,61,3,40,"shell-armor, skill-link, overcoat",water,,headbutt,tackle,take-down,double-edge,twineedle,30,65,100,45,25,40
91,cloyster,184,15,1325,"shell-armor, skill-link, overcoat",water,ice,headbutt,tackle,body-slam,take-down,double-edge,50,95,180,85,45,70
92,gastly,62,13,1,levitate,ghost,poison,fire-punch,ice-punch,thunder-punch,headbutt,disable,30,35,30,100,35,80
93,haunter,142,16,1,levitate,ghost,poison,fire-punch,ice-punch,thunder-punch,headbutt,mega-drain,45,50,45,115,55,95
94,gengar,225,15,405,cursed-body,ghost,poison,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,60,65,60,130,75,110
95,onix,77,88,2100,"rock-head, sturdy, weak-armor",rock,ground,bind,slam,headbutt,tackle,body-slam,35,45,160,30,45,70
96,drowzee,66,10,324,"insomnia, forewarn, inner-focus",psychic,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,60,48,45,43,90,42
97,hypno,169,16,756,"insomnia, forewarn, inner-focus",psychic,,pound,mega-punch,fire-punch,ice-punch,thunder-punch,85,73,70,73,115,67
98,krabby,65,4,65,"hyper-cutter, shell-armor, sheer-force",water,,vice-grip,guillotine,swords-dance,cut,slam,30,105,90,25,25,50
99,kingler,166,13,600,"hyper-cutter, shell-armor, sheer-force",water,,vice-grip,guillotine,swords-dance,cut,slam,55,130,115,50,50,75
100,voltorb,66,5,104,"soundproof, static, aftermath",electric,,headbutt,tackle,take-down,double-edge,sonic-boom,40,30,50,55,55,100
101,electrode,172,12,666,"soundproof, static, aftermath",electric,,headbutt,tackle,take-down,double-edge,sonic-boom,60,50,70,80,80,150
102,exeggcute,65,4,25,"chlorophyll, harvest",grass,psychic,swords-dance,headbutt,take-down,double-edge,psybeam,60,40,80,60,45,40
103,exeggutor,186,20,1200,"chlorophyll, harvest",grass,psychic,swords-dance,stomp,headbutt,body-slam,take-down,95,95,85,125,75,55
104,cubone,64,4,65,"rock-head, lightning-rod, battle-armor",ground,,mega-punch,fire-punch,thunder-punch,swords-dance,double-kick,50,50,95,40,50,35
105,marowak,149,10,450,"rock-head, lightning-rod, battle-armor",ground,,mega-punch,fire-punch,thunder-punch,swords-dance,mega-kick,60,80,110,50,80,45
106,hitmonlee,159,15,498,"limber, reckless, unburden",fighting,,mega-punch,swords-dance,double-kick,mega-kick,jump-kick,50,120,53,35,110,87
107,hitmonchan,159,14,502,"keen-eye, iron-fist, inner-focus",fighting,,comet-punch,mega-punch,fire-punch,ice-punch,thunder-punch,50,105,79,35,110,76
108,lickitung,77,12,655,"own-tempo, oblivious, cloud-nine",normal,,mega-punch,fire-punch,ice-punch,thunder-punch,swords-dance,90,55,75,60,75,30
109,koffing,68,6,10,"levitate, neutralizing-gas, stench",poison,,headbutt,tackle,body-slam,take-down,flamethrower,40,65,95,60,45,35
110,weezing,172,12,95,"levitate, neutralizing-gas, stench",poison,,headbutt,tackle,body-slam,take-down,flamethrower,65,90,120,85,70,60
111,rhyhorn,69,10,1150,"lightning-rod, rock-head, reckless",ground,rock,swords-dance,stomp,sand-attack,headbutt,horn-attack,80,85,95,30,30,25
112,rhydon,170,19,1200,"lightning-rod, rock-head, reckless",ground,rock,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,105,130,120,45,45,40
113,chansey,395,11,346,"natural-cure, serene-grace, healer",normal,,pound,double-slap,mega-punch,fire-punch,ice-punch,250,5,5,35,105,50
114,tangela,87,10,350,"chlorophyll, leaf-guard, regenerator",grass,,swords-dance,cut,bind,slam,vine-whip,65,55,115,100,40,60
115,kangaskhan,172,22,800,"early-bird, scrappy, inner-focus",normal,,pound,comet-punch,mega-punch,fire-punch,ice-punch,105,95,80,40,80,90
116,horsea,59,4,80,"swift-swim, sniper, damp",water,,razor-wind,headbutt,take-down,double-edge,leer,30,40,70,70,25,60
117,seadra,154,12,250,"poison-point, sniper, damp",water,,headbutt,take-down,double-edge,leer,disable,55,65,95,95,45,85
118,goldeen,64,6,150,"swift-swim, water-veil, lightning-rod",water,,swords-dance,headbutt,horn-attack,fury-attack,horn-drill,45,67,60,35,50,63
119,seaking,158,13,390,"swift-swim, water-veil, lightning-rod",water,,swords-dance,headbutt,horn-attack,fury-attack,horn-drill,80,92,65,65,80,68
120,staryu,68,8,345,"illuminate, natural-cure, analytic",water,,headbutt,tackle,take-down,double-edge,supersonic,30,45,55,70,55,85
121,starmie,182,11,800,"illuminate, natural-cure, analytic",water,psychic,headbutt,tackle,take-down,double-edge,water-gun,60,75,85,100,85,115
122,mr-mime,161,13,545,"soundproof, filter, technician",psychic,fairy,pound,double-slap,mega-punch,fire-punch,ice-punch,40,45,65,100,120,90
123,scyther,100,15,560,"swarm, technician, steadfast",bug,flying,razor-wind,swords-dance,cut,wing-attack,headbutt,70,110,80,55,80,105
124,jynx,159,14,406,"oblivious, forewarn, dry-skin",ice,psychic,pound,double-slap,mega-punch,ice-punch,mega-kick,65,50,35,115,95,95
125,electabuzz,172,11,300,"static, vital-spirit",electric,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,65,83,57,95,85,105
126,magmar,173,13,445,"flame-body, vital-spirit",fire,,mega-punch,fire-punch,thunder-punch,mega-kick,headbutt,65,95,57,100,85,93
127,pinsir,175,15,550,"hyper-cutter, mold-breaker, moxie",bug,,vice-grip,guillotine,swords-dance,cut,bind,65,125,100,55,70,85
128,tauros,172,14,884,"intimidate, anger-point, sheer-force",normal,,stomp,headbutt,horn-attack,horn-drill,tackle,75,100,95,40,70,110
129,magikarp,40,9,100,"swift-swim, rattled",water,,tackle,hydro-pump,splash,flail,bounce,20,10,55,15,20,80
130,gyarados,189,65,2350,"intimidate, moxie",water,flying,bind,headbutt,tackle,body-slam,take-down,95,125,79,60,100,81
131,lapras,187,25,2200,"water-absorb, shell-armor, hydration",water,ice,headbutt,horn-drill,body-slam,take-down,double-edge,130,85,80,85,95,60
132,ditto,101,3,40,"limber, imposter",normal,,transform,,,,,48,48,48,48,48,48
133,eevee,65,3,65,"run-away, adaptability, anticipation",normal,,pay-day,double-kick,sand-attack,headbutt,tackle,55,55,50,45,65,55
134,vaporeon,184,10,290,"water-absorb, hydration",water,,pay-day,double-kick,sand-attack,headbutt,tackle,130,65,60,110,95,65
135,jolteon,184,8,245,"volt-absorb, quick-feet",electric,,pay-day,double-kick,sand-attack,headbutt,tackle,65,65,60,110,95,130
136,flareon,184,9,250,"flash-fire, guts",fire,,pay-day,double-kick,sand-attack,headbutt,tackle,65,130,60,95,110,65
137,porygon,79,8,365,"trace, download, analytic",normal,,headbutt,tackle,take-down,double-edge,ice-beam,65,60,70,85,75,40
138,omanyte,71,4,75,"swift-swim, shell-armor, weak-armor",rock,water,bind,slam,sand-attack,headbutt,horn-attack,35,40,100,90,55,35
139,omastar,173,10,350,"swift-swim, shell-armor, weak-armor",rock,water,bind,sand-attack,headbutt,horn-attack,horn-drill,70,60,125,115,70,55
140,kabuto,71,5,115,"swift-swim, battle-armor, weak-armor",rock,water,scratch,sand-attack,headbutt,body-slam,take-down,30,80,90,55,45,55
141,kabutops,173,13,405,"swift-swim, battle-armor, weak-armor",rock,water,scratch,razor-wind,swords-dance,cut,mega-kick,60,115,105,65,70,80
142,aerodactyl,180,18,590,"rock-head, pressure, unnerve",rock,flying,razor-wind,wing-attack,whirlwind,fly,headbutt,80,105,65,60,75,130
143,snorlax,189,21,4600,"immunity, thick-fat, gluttony",normal,,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,160,110,65,65,110,30
144,articuno,261,17,554,"pressure, snow-cloak",ice,flying,razor-wind,gust,whirlwind,fly,headbutt,90,85,100,95,125,85
145,zapdos,261,16,526,"pressure, static",electric,flying,razor-wind,whirlwind,fly,headbutt,take-down,90,90,85,125,90,100
146,moltres,261,20,600,"pressure, flame-body",fire,flying,razor-wind,gust,wing-attack,whirlwind,fly,90,100,90,125,85,90
147,dratini,60,18,33,"shed-skin, marvel-scale",dragon,,bind,slam,headbutt,body-slam,wrap,41,64,45,50,50,50
148,dragonair,147,40,165,"shed-skin, marvel-scale",dragon,,bind,slam,headbutt,horn-drill,body-slam,61,84,65,70,70,70
149,dragonite,270,22,2100,"inner-focus, multiscale",dragon,flying,mega-punch,fire-punch,ice-punch,thunder-punch,razor-wind,91,134,95,100,100,80
150,mewtwo,306,20,1220,"pressure, unnerve",psychic,,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,106,110,90,154,90,130
151,mew,270,4,40,synchronize,psychic,,pound,mega-punch,pay-day,fire-punch,ice-punch,100,100,100,100,100,100
152,chikorita,64,9,64,"overgrow, leaf-guard",grass,,swords-dance,cut,vine-whip,headbutt,tackle,45,49,65,49,65,45
153,bayleef,142,12,158,"overgrow, leaf-guard",grass,,swords-dance,cut,vine-whip,headbutt,tackle,60,62,80,63,80,60
154,meganium,236,18,1005,"overgrow, leaf-guard",grass,,swords-dance,cut,vine-whip,headbutt,tackle,80,82,100,83,100,80
155,cyndaquil,62,5,79,"blaze, flash-fire",fire,,cut,double-kick,headbutt,tackle,body-slam,39,52,43,60,50,65
156,quilava,142,9,190,"blaze, flash-fire",fire,,cut,double-kick,headbutt,tackle,body-slam,58,64,58,80,65,80
157,typhlosion,240,17,795,"blaze, flash-fire",fire,,mega-punch,fire-punch,thunder-punch,cut,double-kick,78,84,78,109,85,100
158,totodile,63,6,95,"torrent, sheer-force",water,,mega-punch,ice-punch,scratch,razor-wind,swords-dance,50,65,64,44,48,43
159,croconaw,142,11,250,"torrent, sheer-force",water,,mega-punch,ice-punch,scratch,swords-dance,cut,65,80,80,59,63,58
160,feraligatr,239,23,888,"torrent, sheer-force",water,,mega-punch,ice-punch,scratch,swords-dance,cut,85,105,100,79,83,78
161,sentret,43,8,60,"run-away, keen-eye, frisk",normal,,fire-punch,ice-punch,thunder-punch,scratch,cut,35,46,34,35,45,20
162,furret,145,18,325,"run-away, keen-eye, frisk",normal,,fire-punch,ice-punch,thunder-punch,scratch,cut,85,76,64,45,55,90
163,hoothoot,52,7,212,"insomnia, keen-eye, tinted-lens",normal,flying,wing-attack,whirlwind,fly,tackle,take-down,60,30,30,36,56,50
164,noctowl,158,16,408,"insomnia, keen-eye, tinted-lens",normal,flying,wing-attack,whirlwind,fly,tackle,body-slam,100,50,50,86,96,70
165,ledyba,53,10,108,"swarm, early-bird, rattled",bug,flying,comet-punch,mega-punch,ice-punch,thunder-punch,swords-dance,40,20,30,40,80,55
166,ledian,137,14,356,"swarm, early-bird, iron-fist",bug,flying,comet-punch,mega-punch,ice-punch,thunder-punch,swords-dance,55,35,50,55,110,85
167,spinarak,50,5,85,"swarm, insomnia, sniper",bug,poison,body-slam,double-edge,poison-sting,twineedle,pin-missile,40,60,40,40,40,30
168,ariados,140,11,335,"swarm, insomnia, sniper",bug,poison,swords-dance,body-slam,double-edge,poison-sting,pin-missile,70,90,70,60,70,40
169,crobat,241,18,750,"inner-focus, infiltrator",poison,flying,gust,wing-attack,fly,double-edge,bite,85,90,80,70,80,130
170,chinchou,66,5,120,"volt-absorb, illuminate, water-absorb",water,electric,take-down,double-edge,supersonic,mist,water-gun,75,38,38,56,56,67
171,lanturn,161,12,225,"volt-absorb, illuminate, water-absorb",water,electric,take-down,double-edge,supersonic,mist,water-gun,125,58,58,76,76,67
172,pichu,41,3,20,"static, lightning-rod",electric,,double-slap,mega-punch,thunder-punch,mega-kick,headbutt,20,40,15,35,35,60
173,cleffa,44,3,30,"cute-charm, magic-guard, friend-guard",fairy,,pound,mega-punch,mega-kick,headbutt,tackle,50,25,28,45,55,15
174,igglybuff,42,3,10,"cute-charm, competitive, friend-guard",normal,fairy,pound,mega-punch,mega-kick,headbutt,body-slam,90,30,15,40,20,15
175,togepi,49,3,15,"hustle, serene-grace, super-luck",fairy,,pound,mega-punch,mega-kick,headbutt,tackle,35,20,65,40,65,20
176,togetic,142,6,32,"hustle, serene-grace, super-luck",fairy,flying,pound,mega-punch,fly,mega-kick,headbutt,55,40,85,80,105,40
177,natu,64,2,20,"synchronize, early-bird, magic-bounce",psychic,flying,double-edge,leer,peck,drill-peck,solar-beam,40,50,45,70,45,70
178,xatu,165,15,150,"synchronize, early-bird, magic-bounce",psychic,flying,fly,double-edge,leer,hyper-beam,peck,65,75,70,95,70,95
179,mareep,56,6,78,"static, plus",electric,,sand-attack,headbutt,tackle,body-slam,take-down,55,40,40,65,45,35
180,flaaffy,128,8,133,"static, plus",electric,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,70,55,55,80,60,45
181,ampharos,230,14,615,"static, plus",electric,,mega-punch,fire-punch,ice-punch,thunder-punch,mega-kick,90,75,85,115,90,55
182,bellossom,221,4,58,"chlorophyll, healer",grass,,swords-dance,cut,double-edge,acid,hyper-beam,75,80,95,90,100,50
183,marill,88,4,85,"thick-fat, huge-power, sap-sipper",water,fairy,mega-punch,ice-punch,slam,mega-kick,headbutt,70,20,50,20,50,40
184,azumarill,189,8,285,"thick-fat, huge-power, sap-sipper",water,fairy,mega-punch,ice-punch,slam,mega-kick,headbutt,100,50,80,60,80,50
185,sudowoodo,144,12,380,"sturdy, rock-head, rattled",rock,,mega-punch,fire-punch,ice-punch,thunder-punch,slam,70,100,115,30,65,30
186,politoed,225,11,339,"water-absorb, damp, drizzle",water,,pound,double-slap,mega-punch,ice-punch,mega-kick,90,75,75,90,100,70
187,hoppip,50,4,5,"chlorophyll, leaf-guard, infiltrator",grass,flying,pay-day,swords-dance,headbutt,tackle,take-down,35,35,40,35,55,50
188,skiploom,119,6,10,"chlorophyll, leaf-guard, infiltrator",grass,flying,swords-dance,headbutt,tackle,take-down,double-edge,55,45,50,45,65,80
189,jumpluff,207,8,30,"chlorophyll, leaf-guard, infiltrator",grass,flying,swords-dance,headbutt,tackle,take-down,double-edge,75,55,70,55,95,110
190,aipom,72,8,115,"run-away, pickup, skill-link",normal,,double-slap,mega-punch,fire-punch,ice-punch,thunder-punch,55,70,55,40,55,85
191,sunkern,36,3,18,"chlorophyll, solar-power, early-bird",grass,,swords-dance,cut,tackle,take-down,double-edge,30,30,30,30,30,30
192,sunflora,149,8,85,"chlorophyll, solar-power, early-bird",grass,,pound,swords-dance,cut,tackle,take-down,75,75,55,105,85,30
193,yanma,78,12,380,"speed-boost, compound-eyes, frisk",bug,flying,swords-dance,gust,wing-attack,whirlwind,headbutt,65,65,45,75,45,95
194,wooper,42,4,85,"damp, water-absorb, unaware",water,ground,ice-punch,slam,double-kick,headbutt,body-slam,55,45,45,25,25,15
195,quagsire,151,14,750,"damp, water-absorb, unaware",water,ground,mega-punch,ice-punch,slam,mega-kick,headbutt,95,85,85,65,65,35
196,espeon,184,9,265,"synchronize, magic-bounce",psychic,,pay-day,cut,sand-attack,headbutt,tackle,65,65,60,130,95,110
197,umbreon,184,10,270,"synchronize, inner-focus",dark,,pay-day,cut,sand-attack,headbutt,tackle,95,65,110,60,130,65
198,murkrow,81,5,21,"insomnia, super-luck, prankster",dark,flying,gust,wing-attack,whirlwind,fly,take-down,60,85,42,85,42,91
199,slowking,172,20,795,"oblivious, own-tempo, regenerator",water,psychic,mega-punch,pay-day,fire-punch,ice-punch,thunder-punch,95,75,80,100,110,30
